Timestamp,Source IP,Destination IP,Protocol,Length
2025-05-01 17:32:31.314061,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:31.436301,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:31.596952,192.168.0.132,172.66.0.227,TLS,260
2025-05-01 17:32:31.602939,192.168.0.132,150.171.22.12,TLS,566
2025-05-01 17:32:31.602948,192.168.0.132,150.171.22.12,TLS,56
2025-05-01 17:32:31.610436,192.168.0.132,150.171.22.12,TLS,566
2025-05-01 17:32:31.610497,192.168.0.132,150.171.22.12,TLS,558
2025-05-01 17:32:31.906461,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:31.962734,172.66.0.227,192.168.0.132,TLS,294
2025-05-01 17:32:31.963404,172.66.0.227,192.168.0.132,TLS,177
2025-05-01 17:32:31.963856,192.168.0.132,172.66.0.227,TLS,101
2025-05-01 17:32:31.964167,172.66.0.227,192.168.0.132,TLS,97
2025-05-01 17:32:32.028655,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:32.071904,150.171.22.12,192.168.0.132,TLS,610
2025-05-01 17:32:32.072450,150.171.22.12,192.168.0.132,TLS,85
2025-05-01 17:32:32.094027,150.171.22.12,192.168.0.132,TLS,534
2025-05-01 17:32:32.094745,150.171.22.12,192.168.0.132,TLS,85
2025-05-01 17:32:32.748099,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:33.047941,192.168.0.132,20.42.72.131,TLS,184
2025-05-01 17:32:33.047992,192.168.0.132,20.42.72.131,TLS,105
2025-05-01 17:32:33.048010,192.168.0.132,20.42.72.131,TLS,1494
2025-05-01 17:32:33.048013,192.168.0.132,20.42.72.131,TLS,813
2025-05-01 17:32:33.366730,150.171.22.12,192.168.0.132,TLS,93
2025-05-01 17:32:33.368694,192.168.0.132,150.171.22.12,TLS,89
2025-05-01 17:32:33.390839,192.168.0.132,20.42.65.91,TLS,583
2025-05-01 17:32:33.544434,52.43.62.1,192.168.0.132,TLS,97
2025-05-01 17:32:33.545132,52.43.62.1,192.168.0.132,TLS,97
2025-05-01 17:32:33.551847,20.42.72.131,192.168.0.132,TLS,105
2025-05-01 17:32:33.700010,20.42.65.91,192.168.0.132,TLS,165
2025-05-01 17:32:33.700916,192.168.0.132,20.42.65.91,TLS,503
2025-05-01 17:32:33.998706,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:34.007113,20.42.65.91,192.168.0.132,TLS,1514
2025-05-01 17:32:34.013411,20.42.65.91,192.168.0.132,TLS,257
2025-05-01 17:32:34.014127,20.42.72.131,192.168.0.132,TLS,165
2025-05-01 17:32:34.015950,192.168.0.132,20.42.65.91,TLS,1494
2025-05-01 17:32:34.015976,192.168.0.132,20.42.65.91,TLS,629
2025-05-01 17:32:34.016083,192.168.0.132,20.42.72.131,TLS,101
2025-05-01 17:32:34.076141,20.42.65.91,192.168.0.132,TLS,169
2025-05-01 17:32:34.077581,20.42.65.91,192.168.0.132,TLS,531
2025-05-01 17:32:34.078148,192.168.0.132,20.42.65.91,TLS,90
2025-05-01 17:32:34.300622,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:34.493060,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:34.576910,192.168.0.132,142.250.191.228,QUIC,1292
2025-05-01 17:32:34.576913,192.168.0.132,142.250.191.228,QUIC,1292
2025-05-01 17:32:34.576924,192.168.0.132,142.250.191.228,QUIC,1292
2025-05-01 17:32:34.613951,142.250.191.228,192.168.0.132,QUIC,1292
2025-05-01 17:32:34.670258,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:34.782622,192.168.0.132,142.250.191.174,QUIC,1292
2025-05-01 17:32:34.782624,192.168.0.132,142.250.191.174,QUIC,1292
2025-05-01 17:32:34.898386,142.250.191.174,192.168.0.132,QUIC,1292
2025-05-01 17:32:34.930658,192.168.0.132,52.205.53.209,TLS,1514
2025-05-01 17:32:34.930665,192.168.0.132,52.205.53.209,TLS,443
2025-05-01 17:32:35.080466,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:35.089040,52.205.53.209,192.168.0.132,TLS,1514
2025-05-01 17:32:35.102261,192.168.0.132,150.171.22.12,TLS,566
2025-05-01 17:32:35.102433,52.205.53.209,192.168.0.132,TLS,1462
2025-05-01 17:32:35.103369,192.168.0.132,52.205.53.209,TLS,192
2025-05-01 17:32:35.103429,192.168.0.132,52.205.53.209,TLS,165
2025-05-01 17:32:35.103472,192.168.0.132,52.205.53.209,TLS,403
2025-05-01 17:32:35.103482,192.168.0.132,52.205.53.209,TLS,688
2025-05-01 17:32:35.132699,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:35.136375,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:35.287344,192.168.0.132,142.250.191.195,QUIC,1292
2025-05-01 17:32:35.287375,192.168.0.132,142.250.191.195,QUIC,1292
2025-05-01 17:32:35.436475,52.205.53.209,192.168.0.132,TLS,270
2025-05-01 17:32:35.437272,52.205.53.209,192.168.0.132,TLS,144
2025-05-01 17:32:35.437413,192.168.0.132,52.205.53.209,TLS,104
2025-05-01 17:32:35.438177,52.205.53.209,192.168.0.132,TLS,298
2025-05-01 17:32:35.439000,52.205.53.209,192.168.0.132,TLS,104
2025-05-01 17:32:35.597997,142.250.191.195,192.168.0.132,QUIC,1292
2025-05-01 17:32:35.688388,192.168.0.132,150.171.22.12,TLS,566
2025-05-01 17:32:35.763497,192.168.0.132,142.250.190.33,QUIC,1292
2025-05-01 17:32:35.763498,192.168.0.132,142.250.190.33,QUIC,1292
2025-05-01 17:32:35.770579,192.168.0.132,150.171.22.12,TLS,357
2025-05-01 17:32:35.859271,192.168.0.132,192.0.66.159,TLS,89
2025-05-01 17:32:36.119077,192.168.0.132,142.250.191.110,QUIC,1292
2025-05-01 17:32:36.119110,192.168.0.132,142.250.191.110,QUIC,1292
2025-05-01 17:32:36.205650,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:36.262257,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:36.578515,142.250.190.33,192.168.0.132,QUIC,1292
2025-05-01 17:32:36.782639,150.171.22.12,192.168.0.132,TLS,227
2025-05-01 17:32:36.883341,142.250.191.110,192.168.0.132,QUIC,1292
2025-05-01 17:32:37.234876,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:37.862261,192.168.0.132,142.250.191.129,QUIC,1292
2025-05-01 17:32:37.862263,192.168.0.132,142.250.191.129,QUIC,1292
2025-05-01 17:32:37.862264,192.168.0.132,142.250.191.129,QUIC,1292
2025-05-01 17:32:38.521772,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:38.631888,142.250.191.129,192.168.0.132,QUIC,1292
2025-05-01 17:32:39.480391,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:39.518707,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:39.519664,192.168.0.132,142.250.191.145,TLS,1466
2025-05-01 17:32:39.519670,192.168.0.132,142.250.191.145,TLS,426
2025-05-01 17:32:39.719884,192.168.0.132,142.250.191.145,TLS,1466
2025-05-01 17:32:39.719894,192.168.0.132,142.250.191.145,TLS,426
2025-05-01 17:32:40.533086,142.250.191.145,192.168.0.132,TLS,1466
2025-05-01 17:32:40.543164,142.250.191.145,192.168.0.132,TLS,679
2025-05-01 17:32:40.544298,192.168.0.132,142.250.191.145,TLS,140
2025-05-01 17:32:40.544457,192.168.0.132,142.250.191.145,TLS,158
2025-05-01 17:32:40.544553,192.168.0.132,142.250.191.145,TLS,721
2025-05-01 17:32:40.544564,192.168.0.132,142.250.191.145,TLS,719
2025-05-01 17:32:40.587551,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:40.951870,142.250.191.145,192.168.0.132,TLS,1466
2025-05-01 17:32:40.966111,142.250.191.145,192.168.0.132,TLS,680
2025-05-01 17:32:40.966426,192.168.0.132,142.250.191.145,TLS,140
2025-05-01 17:32:40.976108,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:41.016234,192.168.0.132,35.186.224.30,TLS,98
2025-05-01 17:32:41.599950,142.250.191.145,192.168.0.132,TLS,1032
2025-05-01 17:32:41.600400,192.168.0.132,142.250.191.145,TLS,97
2025-05-01 17:32:41.643076,142.250.191.145,192.168.0.132,TLS,1291
2025-05-01 17:32:41.643080,142.250.191.145,192.168.0.132,TLS,97
2025-05-01 17:32:41.643527,142.250.191.145,192.168.0.132,TLS,105
2025-05-01 17:32:42.230636,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:42.230920,142.250.191.145,192.168.0.132,TLS,1032
2025-05-01 17:32:42.256949,35.186.224.30,192.168.0.132,TLS,94
2025-05-01 17:32:42.359152,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:42.538955,192.168.0.132,142.250.191.145,TLS,105
2025-05-01 17:32:42.563904,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:42.673388,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:42.860676,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:42.923910,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:43.123578,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:43.185133,192.168.0.132,216.171.1.168,QUIC,1292
2025-05-01 17:32:43.185136,192.168.0.132,216.171.1.168,QUIC,1292
2025-05-01 17:32:43.235415,216.171.1.168,192.168.0.132,QUIC,1292
2025-05-01 17:32:43.358108,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:43.925063,192.0.66.159,192.168.0.132,DATA,1514
2025-05-01 17:32:43.949958,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:44.001911,192.168.0.132,216.171.1.170,QUIC,1292
2025-05-01 17:32:44.001914,192.168.0.132,216.171.1.170,QUIC,1292
2025-05-01 17:32:44.016481,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:44.052343,216.171.1.170,192.168.0.132,QUIC,1292
2025-05-01 17:32:44.188067,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:44.374328,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:45.227141,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:45.317116,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:45.317888,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:45.368737,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:45.387885,192.168.0.132,142.251.32.1,TLS,1466
2025-05-01 17:32:45.387892,192.168.0.132,142.251.32.1,TLS,481
2025-05-01 17:32:45.427438,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.427448,142.251.32.1,192.168.0.132,TLS,774
2025-05-01 17:32:45.429264,192.168.0.132,142.251.32.1,TLS,140
2025-05-01 17:32:45.429466,192.168.0.132,142.251.32.1,TLS,158
2025-05-01 17:32:45.429621,192.168.0.132,142.251.32.1,TLS,726
2025-05-01 17:32:45.447735,142.251.32.1,192.168.0.132,TLS,1078
2025-05-01 17:32:45.447865,192.168.0.132,142.251.32.1,TLS,97
2025-05-01 17:32:45.449950,142.251.32.1,192.168.0.132,TLS,97
2025-05-01 17:32:45.450421,142.251.32.1,192.168.0.132,TLS,485
2025-05-01 17:32:45.457297,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.470086,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.470092,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.470093,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.471417,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.471419,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.471420,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.472279,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.485909,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.485912,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.485914,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.485915,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.485921,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.485923,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.485924,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.485925,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.485933,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.485935,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.697113,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.697114,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.697116,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.697117,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.697119,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.697128,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.697129,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.697130,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.697131,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.697133,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.697134,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.697136,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.697138,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.707166,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.707168,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.707169,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.707171,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.707173,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.707174,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.707628,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.707629,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.708483,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.708484,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.708733,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.708907,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.709071,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.709418,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.709419,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.709649,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.709729,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.710208,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.710763,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.710764,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.711079,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.711080,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.713638,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.713640,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.714014,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.714381,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.714382,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.714669,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.717959,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:45.738564,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:45.740268,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.740269,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.740271,142.251.32.1,192.168.0.132,TLS,1466
2025-05-01 17:32:45.740274,142.251.32.1,192.168.0.132,TLS,205
2025-05-01 17:32:45.740632,192.168.0.132,142.251.32.1,TLS,105
2025-05-01 17:32:45.748290,192.168.0.132,142.250.191.174,QUIC,1292
2025-05-01 17:32:45.748293,192.168.0.132,142.250.191.174,QUIC,1292
2025-05-01 17:32:45.767557,142.250.191.174,192.168.0.132,QUIC,1292
2025-05-01 17:32:45.770846,192.168.0.132,209.85.164.41,QUIC,1292
2025-05-01 17:32:45.770847,192.168.0.132,209.85.164.41,QUIC,1292
2025-05-01 17:32:45.775683,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:45.784970,209.85.164.41,192.168.0.132,QUIC,1292
2025-05-01 17:32:45.919618,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:46.017896,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:46.096072,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:46.505021,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:46.549323,192.168.0.132,216.171.1.169,QUIC,1292
2025-05-01 17:32:46.549325,192.168.0.132,216.171.1.169,QUIC,1292
2025-05-01 17:32:46.556632,216.171.1.169,192.168.0.132,QUIC,1292
2025-05-01 17:32:46.635631,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:46.766401,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:46.987722,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:46.997843,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:47.000379,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:47.010042,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:47.177626,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:47.244795,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:47.250583,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:47.253669,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:47.367785,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:47.395983,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:47.415875,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:47.485779,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:47.494395,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:47.746609,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:47.836808,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:47.950206,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:48.113685,150.171.22.12,192.168.0.132,TLS,93
2025-05-01 17:32:48.114657,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:48.114961,192.168.0.132,150.171.22.12,TLS,89
2025-05-01 17:32:48.114974,192.168.0.132,150.171.22.12,TLS,89
2025-05-01 17:32:48.226499,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:48.417702,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:48.420416,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:48.424676,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:48.485309,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:48.501218,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:48.646941,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:48.727248,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:48.795232,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:48.798805,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:48.852101,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:48.965724,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:48.981807,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:48.981963,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.007995,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.014190,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.021665,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.021878,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.136364,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.139089,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.216158,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.216160,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.231724,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.255979,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.414953,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.418482,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.418485,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.497443,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.579312,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.581743,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.587806,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.688935,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.697120,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.703613,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.717571,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.734301,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.824553,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.827368,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.827372,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.834120,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.836769,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.849967,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.870631,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.873429,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.873433,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.918706,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.919201,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.983132,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.983149,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.983353,192.0.66.159,192.168.0.132,TLS,1514
2025-05-01 17:32:49.984436,192.0.66.159,192.168.0.132,TLS,1514
